"Date","Time","R_or_D","screen_name","text","hashtags"
"9/21/16",22:29:06,"R","SenDanSullivan","Had wonderful time in #Alaska’s “First City,"" including meeting w/ Ketchikan High students (Go Kings!) &amp; getting a tour w/ Coast Guardsmen. https://t.co/PDu0b6SbNj","Alaska"
"9/21/16",21:11:49,"R","SenDanSullivan","Glad to join @SenatorTimScott's #SenateOpportunityCoalition with my colleagues @marcorubio @SenatorLankford &amp; @SenJoniErnst. https://t.co/VaGT9jdJ8U","SenateOpportunityCoalition"
"7/15/16",00:43:21,"R","SenDanSullivan",".@lisamurkowski &amp; I couldn’t have been prouder 2 display beautiful Arctic #Alaska Peonies all the way from Interior! https://t.co/jvwLeGs0Mf","Alaska"
"6/10/16",23:17:21,"R","SenDanSullivan","Lively discussion in @EPWMaj w/ top legal minds about #SCOTUS historic decision to stay #EPA Clean Power Plan.
https://t.co/MKvIU4LH0a","SCOTUS EPA"
"6/10/16",01:52:59,"R","SenDanSullivan","Inaugural meeting of the Senate Running Caucus? Good 2 see Sen. @CoryBooker recently out for a jog on the Mall. #tbt https://t.co/nNCSzDDx5A","tbt"
"2/23/16",23:01:19,"R","SenDanSullivan","@LisaDWilliamson Thank you &amp; other #Alaska members for stopping by, advocating on behalf of vets&amp;families! #ALADC https://t.co/zvL8Nn35uh","Alaska ALADC"
"2/23/16",21:55:25,"R","SenDanSullivan","#VA help line available 4 #veterans facing credit problems due to VA claims or payment errors: 1.877.881.7618. https://t.co/3ltmLD8Lq4","VA veterans"
"2/23/16",02:14:45,"R","SenDanSullivan","Had wonderful evening honoring 12 outstanding junior enlisted service members @ 39th #Alaska Salute to Military. https://t.co/vadvbJkmgL","Alaska"
"2/23/16",00:12:08,"R","SenDanSullivan","I will continue to fight to ensure our #Alaska service members have everything they need to counter rogue regimes and safeguard our country.","Alaska"
"2/23/16",00:07:03,"R","SenDanSullivan","Given escalating threats from #NorthKorea &amp; Iran’s continued efforts 2 develop ICBMs, #Alaska missile defense is as important as ever.","NorthKorea Alaska"
"2/18/16",23:37:07,"R","SenDanSullivan","Congrats to Hugh Neff of Tok on winning 1,000 mile @theyukonquest Monday, and 2 all the impressive mushers and teams making the long trek.",
"2/18/16",00:21:17,"R","SenDanSullivan","Proud to see our F-22 Raptors from JBER leading the way in support of our South Korean allies. https://t.co/Zn2jhrERcO",
"10/29/15",20:11:45,"R","SenDanSullivan","Congrats @SpeakerRyan &amp; many thanks @SpeakerBoehner. It’s obvious power of Holy Spirit has been w/you throughout! https://t.co/rvIs2x4ZBq",
"9/29/15",20:27:36,"R","SenDanSullivan","Great story: Elizabeth Fleagle, teacher &amp; elder, prepares UAF students for social work careers in rural #Alaska. http://t.co/CZj10S0SYm","Alaska"
"7/14/15",23:54:22,"R","SenDanSullivan","On LIVE with @radiostieren discussing the #IranDeal. Listen live here: http://t.co/AeZBGDY9xI cc: @KFQD","IranDeal"
"7/14/15",23:23:20,"R","SenDanSullivan","Will be joining @hughhewitt momentarily to discuss the #IranDeal. Tune in at: http://t.co/e3eGz1KVlK","IranDeal"
"7/14/15",23:05:03,"R","SenDanSullivan","In high stakes negotiations, President Reagan said, “trust but verify.” We have neither in #IranDeal agreement.","IranDeal"
"7/14/15",20:49:42,"R","SenDanSullivan","Principal objective of Iran negotiations was to keep Iran from obtaining a nuclear weapon. This #IranDeal does NOT do that.","IranDeal"
"7/14/15",17:59:16,"R","SenDanSullivan","Will be joining the Intelligence Report with @Trish_Regan momentarily on @FoxBusiness to discuss the #IranDeal.","IranDeal"
"7/14/15",17:01:56,"R","SenDanSullivan","President says it’s either this #IranDeal or war. I categorically reject this. Sanctions were working. That’s what brought Iran to table.","IranDeal"
"6/15/15",22:56:57,"R","SenDanSullivan","AKn's at Ft Wainwright honored service of Vietnam Vets, many of whom were denied recognition upon returning from war. http://t.co/MeJ0u9aMc2",
"6/15/15",19:35:20,"R","SenDanSullivan","Monitoring closely &amp; thoughts are with those battling the #SockeyeFire. Get up-to-date information from @MatSuBorough or @AK_Forestry.","SockeyeFire"
"6/9/15",19:15:09,"R","SenDanSullivan","Happy B-Day &amp; huge congrats to my friend @RepDonYoung &amp; his new bride Anne Garland Walton! Here’s to many happy yrs
 https://t.co/HoQyZd2U8C",
"6/9/15",18:52:08,"R","SenDanSullivan","President threatening 2 veto #NDAA yet doesn’t have ISIL-strategy. Here’s a suggestion: Don’t veto bill to help combat ISIL.","NDAA"
"9/21/16",19:38:50,"R","SenShelby","It is critically important that we continue to prioritize diabetes research and work towards curing and preventing this disease.",
"9/21/16",19:38:22,"R","SenShelby","For 20 years, the Special Diabetes Program has worked to improve the lives of the more than 29 million Americans who suffer from diabetes.",
"9/21/16",19:37:37,"R","SenShelby","I joined my colleagues in sending a letter to Senate leaders reiterating my support of the Special Diabetes Program: https://t.co/81dLSuJzMM",
"7/15/16",19:09:12,"R","SenShelby","I'm proud that these young men &amp; women represent our state, and I know they'll go on to accomplish great things. https://t.co/So9OUVJ9AA",
"7/15/16",19:07:29,"R","SenShelby","It was a privilege to have six #AL students in my DC office during the 2nd session of my summer internship program. https://t.co/8PNt1pl37w","AL"
"7/5/16",22:00:14,"R","SenShelby","It is now up to @TheJusticeDept to ensure that Hillary Clinton is not treated as though she is above the law.",
"7/5/16",21:59:23,"R","SenShelby","All Americans should be held to the same standards &amp; DOJ should take a hard look at the FBI’s rebuke of Hillary Clinton’s e-mail practices.",
"7/5/16",21:58:05,"R","SenShelby","If @TheJusticeDept follows the FBI's recommendation, it could set a dangerous precedent.",
"7/5/16",21:54:26,"R","SenShelby","Today I sent a letter to @LorettaLynch regarding the FBI's recommendation that Hillary Clinton not be prosecuted: https://t.co/MZCpofxP69",
"2/23/16",17:41:05,"R","SenShelby",".@POTUS' plan to close Guantanamo &amp; move radical terrorists onto U.S. soil is imprudent &amp; reckless: https://t.co/oHE2w1r5xP",
"2/18/16",21:09:07,"R","SenShelby","Today I visited @Austal_USA in Mobile #AL and reaffirmed my commitment to the LCS program. I'm proud of their work. https://t.co/gqIGiSg9Av","AL"
"2/18/16",19:06:43,"R","SenShelby","I enjoyed being in studio with Sean Sullivan @fmtalk1065 today in Mobile. https://t.co/yUoZ3uqFd7",
"2/18/16",17:51:01,"R","SenShelby","I enjoyed visiting @AirbusUSA today and learning more about the great work they’re doing in South #AL. https://t.co/NxlaYAHLav","AL"
"2/18/16",17:00:28,"R","SenShelby","Congratulations to the 6 #AL companies selected as @USChamber Blue Ribbon recipients: https://t.co/imsKOPqdCu.","AL"
"11/30/15",17:41:58,"R","SenShelby","Read more about my visit to @AuburnU from @oanow: https://t.co/Ql4s5UVNWc",
"11/30/15",17:41:05,"R","SenShelby","I enjoyed touring @AuburnU's Advanced Engineering Research Lab &amp; visiting with students this past weekend. https://t.co/t4sRWFMhOc",
"10/29/15",21:48:00,"R","SenShelby","ICYMI - I just spoke about my strong opposition to the #BudgetDeal on the Senate floor: https://t.co/hQvMaPGnWg.","BudgetDeal"
"10/29/15",17:32:16,"R","SenShelby","ICYMI: A clip from my interview with @abc3340 yesterday - https://t.co/U6IpwFVg48",
"10/29/15",15:54:56,"R","SenShelby","I'll be on Yellowhammer Radio at 11:30am CT w/ @Cliff_Sims to discuss my opposition to the #BudgetDeal &amp; more: https://t.co/yAOL46u3TB","BudgetDeal"
"9/29/15",15:54:30,"R","SenShelby","It was great to meet members from the #AL @AmericanCancer Society Cancer Action Network in Washington today. http://t.co/842lr05tLJ","AL"
"7/14/15",22:18:45,"R","SenShelby","ICYMI - Listen to my interview on the @IngrahamAngle show today regarding #SanctuaryCities: http://t.co/YPa7MVcqY9","SanctuaryCities"
"7/14/15",19:36:32,"R","SenShelby","I spoke to @WVTM13 today about why I think that the #Iran nuclear agreement is a bad deal for the American people. http://t.co/oDJpHsT1KC","Iran"
"7/14/15",14:33:43,"R","SenShelby","I'm about to be on radio w/ @IngrahamAngle to discuss my call to end funding for sanctuary cities that circumvent federal immigration laws.",
"6/9/15",20:56:28,"R","SenShelby","It was an honor to meet James Strong, the 2015 @CMNHospitals Champion for #AL, and his family in DC today. http://t.co/g4AxZj1eCr","AL"
"7/24/13",21:31:55,"R","SenShelby","We heard POTUS talk about jobs &amp;the economy today, but he offered the same stale rhetoric. We need fresh, bold ideas. http://t.co/DBIxf9oOxD",
"7/24/13",19:19:35,"R","SenShelby","WATCH: Shelby responds to Obama mention of Airbus and Mobile, Alabama  http://t.co/J89FwE4NVW",
"7/24/13",18:12:02,"R","SenShelby","TUNE IN: Senator Shelby will appear on CNN at 2:30 p.m. EST. to discuss President Obama's remarks today on the economy.",
"12/12/12",16:41:14,"R","SenShelby","WATCH: Sen. Shelby talks #fiscalcliff, #taxes with @TeamCavuto on @FoxBusiness http://t.co/XyURuDct","fiscalcliff taxes"
"9/21/16",21:09:53,"R","JohnBoozman","Little Rock Nine are featured @NMAAHC. Their effort to integrate Central HS was an important step toward ending segregation #apeoplesjourney https://t.co/XyLah8219H","apeoplesjourney"
