"Date","Time","R_or_D","screen_name","text","Before_or_After","hashtags","Nominate_dim1","total_victims","Before_or_After_Shooting","case","race","mentions_terror","Shooting_related_terrorism"
"10/12/11",17:55:42,"R","RepPeteKing","Will discuss Iranian terror plot on @CNN at 4:05 p.m.","After",,0.26,9,"After","General-Iran",,1,0
"10/12/11",18:02:49,"R","RepConnieMack","Mack: “Terror Plot Underscores Need for Plan with Mexico to Counter Terrorist Insurgency” http://t.co/SCBI0W0w",,,,,"After","General",,1,0
"10/12/11",18:58:50,"R","RepDavid","Today on the 11th anniversary of USS Cole terror attack, we honor the memory of those lost. God bless our troops and their families. #USA","After","USA",0.633,9,"After","General",,1,0
"10/12/11",20:03:39,"R","RepPeteKing","Getting ready to talk failed Iranian terror plot on @CNN with Wolf Blitzer at 4:05 p.m.: http://t.co/CzRMxZyE","After",,0.26,9,"After","General-Iran",,1,0
"10/12/11",21:03:26,"R","RepCharlieDent","@JoeLieberman, @USSenScottBrown, Dent and @RepJasonAltmire Introduce Enemy Expatriation Act: http://t.co/UkLZqeZq #terrorism #citizenship","After","terrorism citizenship",-0.085,9,"After","General",,1,0
"10/13/11",19:45:35,"R","RepPeteKing","Will discuss the Iranian terror plot on @TheKudlowReport at 7pm.","After",,0.26,,"After","General-Iran",,1,0
"10/13/11",22:44:11,"R","RepPeteKing","Taping segment for @thekudlowreport on Iranian terror plot to be aired at 7pm: http://t.co/wOkj0JpI and http://t.co/3kQfu09G","After",,0.26,,"After","General-Iran",,1,0
"10/2/15",15:02:40,"R","RepFrenchHill","ICYMI: My statement urging my colleagues to vote for a bill that gets justice for victims of Iranian terrorism: https://t.co/216HuyDooa","After",,0.473,,"After","General-Iran",,1,0
"10/2/15",15:04:23,"R","RepCharlieDent","Iran owes billions 2 American victims of state-sponsored terrorism. It should get nothing until it pays. #NotOneCent http://t.co/yUScVR3Ahp","After","NotOneCent",-0.085,,"After","General-Iran",,1,0
"10/2/15",15:07:51,"R","JudgeTedPoe","Today's Terrorism Update:
On the third day of airstrikes in Syria, Russian jets continued bombing areas mainly... http://t.co/vDkEydFTBy","After",,0.594,,"After","General-Islamic",,1,0
