Date,Time,R_or_D,screen_name,text,Before_or_After,hashtags,Nominate_dim1,total_victims,Before_or_After_Shooting,case,race,mentions_terror,Shooting_related_terrorism
6/13/16,0:09:26,D,RepMcNerney,"We cannot stand for these acts of hate, violence &amp; terrorism that cut short the lives of too many innocent victims: https://t.co/8zKHRvAa2X",After,,-0.259,,After,Inside,Other,1,1
6/13/16,1:00:12,R,repjohnkline,Vicky and I extend our prayers to families of victims of terrorist attack in Orlando. Stark reminder we are at war w/ Islamist extremists.,After,,0.49,,After,Inside,Other,1,1
6/13/16,6:00:00,D,SenatorReid,"This act of terror was an attack on the LGBT community; an attack on acceptance, freedom and love; an attack on America.",,,,,After,Inside,Other,1,1
6/13/16,6:00:00,D,SenGaryPeters,We stand in solidarity with #Orlando following devastating terrorist attack. See #MI area events to honor victims: https://t.co/ZzyB2rHo6J,,,,,After,Inside,Other,1,1
6/13/16,6:00:00,R,SenatorCollins,"As we mourn the victims of terrorism in #Orlando, we must stand strongly with our LGBT friends against this violent hatred.",,,,,After,Inside,Other,1,0
6/13/16,6:00:00,R,SenatorRisch,I'll be live in a few minutes with @wolfblitzer on @CNNSitRoom to discuss what we know about Orlando terror attack. https://t.co/v52qbBASQn,,,,,After,Inside,Other,1,1
6/13/16,6:00:00,R,SenBobCorker,"Appreciate the Christians, Muslims and leaders of all faiths who have stepped forward to condemn the tragic terrorist attack in Orlando.",,,,,After,Inside,Other,1,1
6/13/16,12:04:07,R,CongressmanHice,"As we #PrayForOrlando, our Nation must recognize that radical Islamic terrorists are a threat to all Americans. https://t.co/UOT0aNuWnl",After,PrayForOrlando,0.725,,After,Inside,Other,1,1
6/13/16,12:59:33,R,MikeKellyPA,The victims of the #Orlando terrorist attack must remain in our prayers. The defeat of radical Islamism must remain our paramount priority.,After,Orlando,0.318,,After,Inside,Other,1,1
6/13/16,13:01:22,R,RepTomMarino,I am disgusted by the heinous terror attack carried out in Orlando. Read my statement here &gt;&gt;&gt; https://t.co/DbvCusWl1Z,After,,0.481,,After,Inside,Other,1,1
6/13/16,13:15:41,R,PatrickMcHenry,In the coming days we must learn more about the terrorist attacker &amp; his ties to ISIS/radical Islam so we can prevent future attacks.,After,,0.581,,After,Inside,Other,1,1
6/13/16,13:20:18,R,RepRWilliams,"I am appalled by the despicable act of terrorism in Florida, and I am praying for the victims and their families and loved ones",After,,0.604,,After,Inside,Other,1,1
6/13/16,13:20:58,R,RepRWilliams,"This terrorist pledged loyalty to ISIS, and it illustrates that the threat of terrorism has once again made it to our shores",After,,0.604,,After,Inside,Other,1,1
6/13/16,13:40:10,D,RepAdamSchiff,The mass shooting in #Orlando was an attack on the LGBT community and all Americans. An act of terror and hate.,After,Orlando,-0.348,,After,Inside,Other,1,1
6/13/16,13:45:08,D,RepJeffries,We must identify all ISIS inspired terrorists on our soil and keep weapons of mass destruction out of their hands #PrayForOrlando,After,PrayForOrlando,-0.484,,After,Inside,Other,1,1
6/13/16,14:14:10,R,RepChuck,Yesterday I joined @BretBaier to discuss the tragic #Orlando terrorist attack &amp; my bill to combat #ISIS @FoxNews https://t.co/0xE3UoNzVq,After,Orlando ISIS,0.474,,After,Inside,Other,1,1
6/13/16,14:19:53,D,BradSherman,My deepest sympathies to the victims of this tragedy.We must do everything we can to keep guns out of the hands of terrorists #OrlandoUnited,After,OrlandoUnited,-0.341,,After,Inside,Other,1,1
6/13/16,14:36:34,R,RepTomReed,The flags at the U.S. Capitol stand at half-staff to honor the victims of the terror attack in Orlando. https://t.co/3y7uyAWsYm,After,,0.295,,After,Inside,Other,1,1
6/13/16,15:02:23,R,DesJarlaisTN04,Islamic terrorism is real and it is beyond time we started treating it as such. Muslims across the U.S need to disavow radical Islam!,After,,0.594,,After,Inside,Other,1,1
6/13/16,15:14:46,R,RepMikeCoffman,"Last night, I spoke @ a vigil honoring the victims of the #Orlando terrorist attack. #WeAreOrlando (📷@DurangoHerald) https://t.co/DwyFpXaHaa",,,,,After,Inside,Other,1,1
6/13/16,17:39:46,R,CongressmanGT,"Continuing to pray for those in Orlando who were lost, grieving &amp; recovering from the terrorist &amp; senseless violence that took so many lives",After,,0.307,,After,Inside,Other,1,1
