Date,Time,R_or_D,Before_or_After,screen_name,text,hashtags,Nominate_dim1,race,mentions_terror
7/8/16,4:28:26,D,After,RepAndreCarson,Terrible tragedy in Dallas. Please pray for everyone involved. Violence is not the answer.,,-0.426,Black,0
6/13/16,22:07:56,D,After,RepAndreCarson,HAPPENING NOW: on @MSNBC talking about the #Orlando tragedy and how we can prevent it from happening again https://t.co/zoYWbA4PTL,Orlando,-0.426,Other,0
6/13/16,13:43:29,D,After,RepAndreCarson,"ICYMI: My statement in response to yesterday's tragic mass shooting in #Orlando. 
https://t.co/gtsfaUePyK",Orlando,-0.426,Other,0
9/16/13,19:54:32,D,After,RepAndreCarson,Our prayers go out to all those affected by the tragedy at the Washington #Navy Yard. Our thanks go out to all first responders.,Navy,-0.426,Black,0
12/14/12,18:46:21,D,After,RepAndreCarson,My thoughts &amp; prayers are with all of the families in Newtown as they face an unthinkable &amp; heart-wrenching tragedy in their community.,,-0.426,White,0
1/9/11,2:15:41,D,After,LeonardBoswell,"Today was a terrible tragedy for ALL Americans. We all pray for Congresswoman Giffords recovery & All others involved, plus their families.",,0.302,White,0
6/12/16,19:34:50,D,After,RepJohnYarmuth,"Saddened by the horrific shooting in Orlando early this morning. My heart breaks for the families, friends and all affected by this tragedy.",,-0.379,Other,0
12/14/12,18:54:42,D,After,RepJohnYarmuth,My thoughts &amp; prayers are with the families &amp; all at Sandy Hook Elementary. I share the outrage of so many at this tragic loss of life.,,-0.379,White,0
6/13/16,12:28:40,D,After,RepRichmond,Shocked &amp; saddened by tragic news coming out of #Orlando We must stand against hatred in all of its forms.,Orlando,-0.476,Other,0
6/18/15,13:16:33,D,After,RepRichmond,Tragic news in #Charleston 9 people worshiping in the House of the Lord brutally taken frm their families #EmanuelAME http://t.co/ta7HrB9jmX,Charleston EmanuelAME,-0.476,White,0
4/3/14,18:30:44,D,After,RepRichmond,My condolences and prayers to the families impacted by the tragedy at #FortHood,FortHood,-0.476,Latino,0
12/14/12,21:10:20,D,After,RepTierney,My deepest sympathy and prayers for those impacted by today’s events in Newtown. This kind of tragedy leaves us all searching for answers.,,-0.488,White,0
7/20/12,20:52:22,D,After,RepTierney,I was saddened to hear of the tragic shooting in Aurora Colorado this morning. My thoughts go out to all of the victims and their families.,,-0.488,White,0
6/13/16,14:19:51,D,After,RepStephenLynch,Speaking with @hillarychabot @JaclynCashman on @HeraldRadio about the tragic shooting in #Orlando https://t.co/7HkfRbE6s2,Orlando,-0.352,Other,0
12/3/15,16:40:27,D,After,USRepKeating,Tevis and I send our deepest sympathies to all the victims and their families of the senseless tragedy in San Bernardino yesterday. 1/4,,-0.329,Other,0
1/9/11,22:19:58,D,After,USRepKeating,"My thoughts and prayers are with Representative Gabrielle Giffords, all the victims of the tragedy, and their families.",,-0.329,White,0
12/2/15,23:12:49,D,After,RepJoeKennedy,Devastated by the tragedy in #SanBernardino. House held moment of silence yesterday for #ColoradoSprings. Time to #EndGunViolence now.,SanBernardino ColoradoSprings EndGunViolence,-0.421,Other,0
10/1/15,21:14:55,D,After,chelliepingree,Another day of heartbreaking tragedy. No family or community should go through this.  My heart goes out to everyone around #UCCShooting,UCCShooting,-0.423,White,0
6/12/16,20:17:33,D,After,RepJohnConyers,"The shooting in Orlando is a terrible tragedy, made even more appalling by the possibility that it was a hate crime against LGBT community.",,-0.658,Other,0
12/2/15,22:23:56,D,After,RepDebDingell,Our hearts go out to #SanBernadino &amp; those impacted by this horrific tragedy. We need to work together to prevent this from happening.,SanBernadino,-0.448,Other,0
10/1/15,20:32:22,D,After,RepDebDingell,We as a nation and as a people must take a stand against the tragic problem of mass shooting in American schools.,UCCShooting,-0.448,White,0
6/18/15,14:30:47,D,After,RepDebDingell,Our hearts are heavy this morning. My thoughts and prayers are with #Charleston and all impacted by this senseless tragedy.,Charleston,-0.448,White,0
6/12/16,15:02:26,D,After,RepLawrence,I would like to express my deepest condolences to the families of those affected by the tragedy in Orlando last night. #PrayForOrlando,PrayForOrlando,-0.437,Other,0
4/3/14,12:04:38,D,After,RepTimWalz,"My thoughts and prayers go out to the victims, their families, and everyone at Ft. Hood. What a terrible tragedy.",,-0.275,Latino,0
7/8/16,15:50:01,D,After,USRepRickNolan,This has been another violent and tragic week for the United States of America. https://t.co/h1RgOBLyY0,,-0.373,Black,0
9/16/13,20:41:00,D,After,BennieGThompson,My prayers are with the victims of today's Navy Yard tragedy.,,-0.515,Black,0
6/13/16,19:45:59,D,After,RepBradAshford,By working together we can prevent the tragedy in Orlando from happening again. #OrlandoUnited https://t.co/eB0ceGtDE4,OrlandoUnited,-0.185,Other,0
9/16/13,16:30:38,D,After,RepSheaPorter,"Horrified by the tragic events in DC this morning. My thoughts &amp; prayers are with the victims, first responders, &amp; individuals in the area.",,0.241,Black,0
10/24/14,19:53:23,D,After,RepAnnieKuster,Deeply saddened by the tragic events at Marysville-Pilchuck High School in WA; my thoughts and prayers are with the families of the victims.,,-0.255,Native American,0
7/20/12,15:00:45,D,After,RepSires,"Shocked and saddened by the tragic Aurora, CO shooting.  My thoughts and prayers are with the victims and their families.",,-0.403,White,0
7/18/16,14:33:37,D,After,BillPascrell,Our nation yet again mourns the tragic death of brave law enforcement officers killed in the line of duty. #BatonRouge #EnoughIsEnough,BatonRouge EnoughIsEnough,-0.366,Black,0
7/16/15,22:43:36,D,After,BillPascrell,My thoughts &amp; prayers are with #Chattanooga today in the wake of yet another senseless shooting. Tragic loss of 4 of our nation's bravest.,Chattanooga,-0.366,Other,0
