Name,State,Republican_Democrat,House_Senate,Years_in_office,Joined_Twitter,Twitter_ID,X8,Tweets
Marcy Kaptur,Ohio,D,H,1983-present,12-May,@RepMarcyKaptur,NA,3592
Marcia Fudge,Ohio,D,H,Nov 2008-present,10-Jun,@RepMarciaFudge,NA,5361
Pat Tiberi,Ohio,R,H,1993-2018,12-Oct,@PatTiberi,NA,3602
David Joyce,Ohio,R,H,2013-Present,12-Nov,@RepDaveJoyce,NA,3596
Jim Renacci,Ohio,R,H,2011-present,11-Jan,@RepJimRenacci,NA,4089
Mary Fallin,Oklahoma,R,H,2007-2011,10-Sep,@GovMaryFallin,NA,5860
James Lankford,Oklahoma,R,H,2011-2105,10-Dec,ALREADY IN THE SENATE @SenatorLankford,NA,5263
Earl Bulmenauer,Oregon,D,H,1996-present,8-Aug,@repblumenauer,NA,3234
Bob Brady,Pennsylvania,D,H,1998-present,10-May,@RepBrady,NA,11.3k
Chaka Fattah,Pennsylvania,D,H,1995-2016,9-Jun,@chakafattah,NA,12.9k
Jason Altmire,Pennsylvania,D,H,2007-2013,11-Mar,@jasonaltmire,NA,4026
Glenn Thompson,Pennsylvania,R,H,2009-present,9-Jan,@CongressmanGT,NA,6666
Dwight Evans,Pennsylvania,D,H,2016-present,9-Nov,@RepDwightEvans,NA,13.4k
Joe Sestak,Pennsylvania,D,H,2007-2011,9-Jun,@JoeSestak,NA,3184
Bill Shuster,Pennsylvania,R,H,2001-present,9-Mar,@RepBillShuster,NA,3355
Mike Fitzpatrick,Pennsylvania,R,H,2011-2017,11-Jan,@RepFitzpatrick,NA,5249
Keith Rothfus,Pennsylvania,R,H,2013-Present,13-Feb,@KeithRothfus,NA,4309
