Name,State,Republican_Democrat,House_Senate,Years_in_office ,Joined_Twitter,Twitter_ID,,Tweets
William Sali,Idaho,R,H,1990-2009,NA,NA,,
Michael K. Simpson,Idaho,R,H,1992-Present,9-Sep,@CongMikeSimpson,,
Walt Minnick,Idaho,D ,H,2009-2011,NA,NA,,
Raul Labrador,Idaho,R,H,2006-Present,11-Feb,@Raul_Labrador,,
Bobby Rush,Illinois,D,H,1993-present,11-May,@RepBobbyRush,,
Jesse Jackson Jr,Illinois,D ,H,1995-2012,NA,NA,,
Dan Lipinski,Illinois,D,H,2005-Present,12-Dec,@RepLipinski,,
Luis Gutierrez,Illinois,D,H,1993-Present,9-May,@RepGutierrez,,5756
Rahm Emanuel,Illinois,D,H,2011- present,10-Oct,@RahmEmanuel,,
Michael Quigley,Illinois,D ,H,2009-Present,9-Jul,@RepMikeQuigley,,10.3k
Robin Kelly,Illinois,D ,H,2013-Present,13-Apr,@RepRobinKelly,,
Peter Roskam,Illinois,R,H,2000-present,9-Feb,@PeterRoskam,,6979
Danny K. Davis,Illinois,D,H,1997-present,12-Aug,@RepDannyDavis,,
Melissa Bean,Illinois,D,H,2005-2011,NA,NA,,
Janice Schakowsky,Illinois,D,H,1999-present,9-Mar,@janschakowsky,,6353
Mark Steven Kirk,Illinois,R,H,2001-2010,,ALREADY IN THE SENATE,,
Joe Walsh,Illinois,R,H,2011-2013,11-Jan,@WalshFreedom,,
Bob Dold,Illinois,R,H,2011-2017,11-Jan,@RepDold,,3561
Tammy Duckworth,Illinois,D ,H,2013-2017,,ALREADY IN THE SENATE,,3901
Brad Schneider,Illinois,D ,H,"2013-2015, then 2017-present",13-Jan,@RepSchneider,,
Jerry Weller,Illinois,R,H,1995-2009,NA,NA,,
Jerry Costello,Illinois,D ,H,1993-2013,NA,NA,,
Judy Biggert,Illinois,R,H,1993-2013,,,,
Bill Foster,Illinois,D,H,"2008-2011, then 2013-present",13-Jan,@RepBillFoster,,
Timothy Johnson,Illinois,R,H,2001-2013,NA,NA,,
Donald Manzullo,Illinois,R,H,1993-2013,NA,NA,,
Philip Hare,Illinois,D,H,2007-2011,NA,NA,,
Ray LaHood,Illinois,R,H,1995-2009,Joined after losing office,,,
John Shimkus,Illinois,R,H,1997-present,8-Jul,@RepShimkus,,10.4k
Aaron Schock,Illinois,R,H,2005-2015,9-Mar,@aaronschock,,
Debbie Halvorson,Illinois,D,H,1997-2011,NA,NA ,,
Adam Kinzinger,Illinois,R,H,2011- present,10-Nov,@RepKinzinger,,7299
Randy Hultgren,Illinois,R,H,1998-Present,11-Jan,@RepHultgren,,4843
Bobby Schilling,Illinois,R,H,2011-2013,9-Jun,NOT VERIFIED,,
William Enyart,Illinois,D,H,2013-2015,NA,NA,,
Rodney L. Davis,Illinois,R,H,2013-Present,12-Dec,@RodneyDavis,,4909
Cheri Bustos,Illinois,D ,H,2013-Present,13-Jan,@RepCheri,,3349
Mike Bost,Illinois,R,H,1995-present,15-Jan,@RepBost,,
Darin Lahood,Illinois,R,H,2011- present,15-Sep,@RepLaHood,,
Pete Visclosky,Indiana,D,H,1985-present,10-Sep,@RepVisclosky,,
Joe Donnelly,Indiana,D,H,2007-2013,,ALREADY IN THE SENATE,,5570
Mark Souder,Indiana,R,H,1995-2010,NA,NA,,
Steve Buyer,Indiana,R,H,1993-2011,NA,NA,,
Dan Burton,Indiana,R,H,1976-2013,NA,NA,,
Mike Pence,Indiana,R,H,2001-2013,9-Feb,@mike_pence,,5370
Julia Carson,Indiana,D ,H,1997-Dec 2007,NA,NA,,
Andre Carson,Indiana,D ,H,2008-present,10-Oct,@RepAndreCarson,,3457
Brad Elssworth,Indiana,D ,H,2007-2011,NA,NA,,
Baron Hill,Indiana,D ,H,2007-2011,NA,NA,,
Marlin Stutzman,Indiana,R,H,2003-2017,10-Nov,@RepStutzman,,
Todd Rokita,Indiana,R,H,2011- present,8-Nov,@ToddRokita,,5979
Larry Bucshon,Indiana,R,H,2011- present,11-Jan,@RepLarryBucshon,,5077
Todd Young,Indiana,R,H,2011-2017,,ALREADY IN THE SENATE,,3918
Jackie Walroski,Indiana,R,H,"2005-2010, then 2013-present",13-Jan,@RepWalorski,,4283
Susan Brooks,Indiana,R,H,2013-Present,13-Jan,@SusanWBrooks,,5338
Luke Messer,Indiana,R,H,2013-Present,12-Dec,@RepLukeMesser,,
Bruce Braley,Iowa,D,H,2007-2015,9-Apr,@BruceBraley,,6247
David Loebsack,Iowa,D,H,2007-present,12-Mar,@daveloebsack,,
Leonard Boswell,Iowa,D,H,1997-2013,9-Feb,@LeonardBoswell,,
Tom Latham,Iowa,R,H,1995-2015,NA,NA,,
